Region,Country,Solar_capacity,Wind_capacity,Nuclear_capacity,Coal_capacity,Hydro_capacity,Oil_capacity,Gas_capacity,Bio_capacity,Geo_capacity,total_capacity,Solar_generation,Wind_generation,Nuclear_generation,Coal_generation,Hydro_generation,Gas_generation,Oil_generation,Bio_generation,Geo_generation,total_generation,ISO_A3
Europe,Serbia,35.6,509.6,,4785.0,1342.0,,549.0,30.0,,7251.2,0.03742272,1.3392288,,16.76664,4.114572,2.164158,,0.1314,,24.553421519999997,SRB
Asia,Azerbaijan,290.5,50.0,,,954.0,,5861.0,37.0,,7192.5,0.3817169999999999,0.1095,,,3.342816,20.536944,,0.16206,,24.533036999999997,AZE
Asia,Turkmenistan,,,,,,,7087.0,,,7087.0,,,,,,24.832848,,,,24.832848,TKM
Asia,Jordan,1610.2,621.0,,,,520.0,4133.0,,,6884.2,2.1158028,1.35999,,,,14.482032,1.82208,,,19.7799048,JOR
Americas,Ecuador,44.4,66.0,,,5254.0,1129.6,250.0,73.0,,6817.0,0.07389936,0.1907928,,,20.711268,0.7665,3.4633535999999996,0.31974,,25.525553759999998,ECU
Asia,North Korea,,,5,3250.0,3177.0,,,,,6432.0,,,0.03504,15.658500000000002,11.132208000000002,,,,,26.825748000000004,PRK
Africa,Tunisia,46.2,253.0,,,,,5838.0,,,6137.2,0.06475392,0.55407,,,,15.342263999999998,,,,15.961087919999999,TUN
Europe,Slovakia,449.2,,2471,274.0,1746.0,,1076.0,,,6016.2,0.47219903999999996,,15.152171999999998,0.9600960000000002,5.353235999999999,4.241592,,,,26.17929504,SVK
Americas,Dominican Republic,939.0,621.5,,1064.0,268.0,755.0,2239.0,37.0,,5923.5,1.5628715999999998,1.7966322,,4.66032,1.056456,6.864774,2.31483,0.16206,,18.4179438,DOM
Africa,Ethiopia,1.2,564.0,,,4622.0,,,243.0,,5430.2,0.0016819200000000002,1.23516,,,8.097744,,,0.851472,,10.18605792,ETH
Africa,Ghana,358.3,,,,1584.0,,3429.0,,,5371.3,0.5021932800000001,,,,2.775168,9.011412,,,,12.288773280000001,GHA
Asia,Myanmar,350.9,210.0,,150.0,2587.0,,2041.0,,,5338.9,0.46108259999999995,0.4599,,0.7227,9.064848,7.151664000000001,,,,17.8601946,MMR
Africa,Angola,481.6,50.0,,,3470.0,209.0,720.0,100.0,,5030.6,0.67501056,0.1095,,,6.07944,1.89216,0.549252,0.3504,,9.65576256,AGO
Africa,Zambia,186.0,,,330.0,4098.0,105.0,,40.0,,4759.0,0.26069760000000003,,,1.73448,7.179696,,0.27594,0.14016,,9.5909736,ZMB
Europe,Bosnia and Herzegovina,157.1,219.0,,2090.0,1881.0,,,,,4347.1,0.16514352,0.575532,,7.32336,5.767145999999999,,,,,13.831181520000001,BIH
Europe,Croatia,96.3,954.0,,217.0,1562.0,320.0,1101.0,,,4250.3,0.10123056,2.507112,,0.7603680000000002,4.789091999999999,4.340142,0.9250560000000001,,,13.423000559999998,HRV
Americas,Uruguay,333.1,1535.4,,,593.0,212.0,920.0,650.0,,4243.5,0.5544116400000001,4.4385343200000005,,,2.337606,2.82072,0.6499919999999999,2.847,,13.64826396,URY
Africa,Sudan,11.0,,,,1850.0,1216.9,994.0,138.0,,4209.9,0.0154176,,,,3.2412,2.612232,3.1980131999999997,0.483552,,9.5504148,SDN
Asia,Cambodia,506.3,,,1455.0,1298.0,,800.0,,,4059.3,0.6652781999999999,,,7.010190000000001,4.548192,2.8032,,,,15.026860200000002,KHM
Asia,Kyrgyzstan,,,,813.0,2990.0,,,,,3803.0,,,,3.9170340000000006,10.47696,,,,,14.393994000000001,KGZ
Asia,Sri Lanka,42.6,225.0,,900.0,1168.0,612.0,683.0,,,3630.6,0.055976399999999996,0.49275,,4.336200000000001,4.092672,2.393232,2.144448,,,13.515278400000001,LKA
Asia,Georgia,,20.7,,,2438.0,,1167.0,,,3625.7,,0.045333,,,8.542752,4.089168,,,,12.677253,GEO
Europe,Lithuania,299.6,914.0,,,1001.0,,1148.0,70.0,,3432.6,0.31493952,2.401992,,,3.0690659999999994,4.525416,,0.3066,,10.618013519999998,LTU
Americas,Panama,545.5,336.5,,,901.0,389.0,1051.0,,,3223.0,0.9079301999999999,0.9727542000000001,,,3.551742,3.2223659999999996,1.1926739999999998,,,9.8474664,PAN
Americas,Bolivia,181.0,135.0,,,414.0,,2327.5,,,3057.5,0.30125640000000004,0.39025800000000005,,,1.631988,7.136115,,,,9.4596174,BOL
Asia,Lebanon,,,,,108.0,1624.0,1200.0,,,2932.0,,,,,0.378432,4.2048,5.690496,,,10.273728,LBN
Americas,Cuba,125.4,11.2,,,,2208.0,486.0,60.0,,2890.6,0.20871576,0.032376959999999996,,,,1.490076,6.769728,0.2628,,8.76369672,CUB
Africa,Mozambique,111.3,,,,2075.0,,658.0,,,2844.3,0.15599807999999998,,,,3.6354,1.729224,,,,5.52062208,MOZ
Africa,Kenya,257.0,532.5,,,590.0,565.0,,34.0,814.0,2792.5,0.36021119999999995,1.166175,,,1.03368,,1.48482,0.11913600000000002,4.991448,9.1554702,KEN
Europe,Slovenia,30.0,,727,1069.0,422.0,,535.0,,,2783.0,0.031535999999999995,,4.457964,3.745776,1.293852,2.10897,,,,11.638097999999998,SVN
Europe,Latvia,44.0,100.0,,,1536.0,,1087.0,,,2767.0,0.0462528,0.2628,,,4.709375999999999,4.284954,,,,9.303382799999998,LVA
Africa,DR Congo,2.6,,,,2686.0,,,,,2688.6,0.0036441600000000005,,,,4.705872,,,,,4.709516160000001,
Americas,Honduras,589.3,235.0,,105.0,513.0,815.0,294.0,93.0,35.0,2679.3,0.98083092,0.679338,,0.4599,2.022246,0.9014039999999999,2.49879,0.40734,0.22995,8.17979892,HND
Europe,Iceland,,,,,1880.0,,,,763.0,2643.0,,,,,5.76408,,,,4.678716,10.442796,ISL
Americas,Guatemala,146.4,106.0,,439.0,681.0,356.0,,833.0,,2561.4,0.24366816000000002,0.30642480000000005,,1.92282,2.684502,,1.091496,3.64854,,9.89745096,GTM
Americas,Costa Rica,17.2,414.8,,,1363.0,501.3,,,248.0,2544.3,0.028627679999999996,1.19910384,,,5.372946,,1.5369857999999998,,1.62936,9.76702332,CRI
Asia,Armenia,156.2,,448,,811.0,,1127.0,,,2542.2,0.20524679999999995,,3.1395840000000006,,2.8417440000000003,3.949008,,,,10.135582800000002,ARM
Americas,El Salvador,522.4,54.0,,,532.0,552.0,378.0,247.0,141.0,2426.4,0.86948256,0.15610320000000003,,,2.097144,1.1589479999999999,1.692432,1.08186,0.92637,7.98233976,SLV
Asia,Nepal,131.1,,,,2220.0,,,,,2351.1,0.17226539999999999,,,,7.77888,,,,,7.9511454,NPL
Asia,Cyprus,325.9,156.0,,,,1735.0,120.0,,,2336.9,0.42823259999999996,0.34164,,,,0.42048,6.07944,,,7.2697926,CYP
Asia,Bhutan,,,,,2202.0,,,,,2202.0,,,,,7.715808000000001,,,,,7.715808000000001,BTN
Africa,Côte d'Ivoire,57.7,,,,824.0,200.0,1079.0,,,2160.7,0.08087232000000001,,,,1.443648,2.835612,0.5256,,,4.88573232,CIV
Americas,Trinidad and Tobago,,,,,,,2059.0,,,2059.0,,,,,,6.312894,,,,6.312894,TTO
Americas,Puerto Rico,161.8,127.0,,,,772.0,970.0,,,2030.8,0.26929991999999997,0.36713160000000006,,,,2.97402,2.366952,,,5.977403519999999,PRI
Europe,North Macedonia,196.9,73.0,,824.0,446.0,198.0,220.0,,,1957.9,0.20698128,0.191844,,2.887296,1.367436,0.86724,0.5723784000000001,,,6.09317568,MKD
Africa,Zimbabwe,161.9,,,1670.0,,,,74.0,,1905.9,0.22691904000000002,,,8.77752,,,,0.259296,,9.263735040000002,ZWE
Europe,Albania,254.5,,,,1547.0,,,,,1801.5,0.26753039999999995,,,,4.7431019999999995,,,,,5.0106323999999995,ALB
Africa,Uganda,114.0,,,,1413.0,189.0,,30.0,,1746.0,0.15978240000000002,,,,2.475576,,0.49669199999999997,0.10512,,3.2371704,UGA
Europe,Estonia,516.2,688.0,,,,,458.0,,,1662.2,0.54262944,1.808064,,,,1.805436,,,,4.15612944,EST
Africa,Tanzania,158.9,,,,540.0,205.0,644.0,,,1547.9,0.22271424,,,,0.94608,1.692432,0.53874,,,3.3999662399999995,TZA
Europe,Luxembourg,54.1,115.5,,,1294.0,,,,,1463.6,0.05686992,0.303534,,,3.967404,,,,,4.327807920000001,LUX
Europe,Kosovo,15.5,135.0,,1290.0,,,,,,1440.5,0.0162936,0.35478,,4.52016,,,,,,4.8912336,
Africa,Senegal,260.3,208.0,,155.0,,157.0,646.0,,,1426.3,0.36483648,0.45552,,0.81468,,1.6976879999999999,0.412596,,,3.74532048,SEN
Asia,Mongolia,111.3,155.0,,1145.0,,,,,,1411.3,0.14624820000000002,0.33945,,5.51661,,,,,,6.0023082,MNG
Africa,Cameroon,61.1,100.0,,,883.0,148.0,216.0,,,1408.1,0.08563776,0.219,,,1.5470160000000002,0.567648,0.388944,,,2.80824576,CMR
Asia,Yemen,193.5,,,,,339.0,786.0,,,1318.5,0.254259,,,,,2.7541440000000006,1.187856,,,4.196259,YEM
Africa,Western Sahara,455.0,753.0,,,,72.0,,,,1280.0,0.637728,1.64907,,,,,0.18921599999999997,,,2.476014,ESH
Europe,Moldova,24.8,,,,,,1168.0,,,1192.8,0.026069759999999997,,,,,4.604256,,,,4.630325760000001,MDA
Africa,Guinea,,,,,770.0,314.0,75.0,,,1159.0,,,,,1.34904,0.1971,0.825192,,,2.371332,GIN
Oceania,New Caledonia,98.6,38.5,,370.0,,441.0,80.0,,,1028.1,0.16410984,0.10117799999999999,,1.94472,,0.14016,0.772632,,,3.12279984,NCL
Europe,Montenegro,3.2,118.0,,225.0,649.0,,,,,995.2,0.0033638400000000003,0.310104,,0.7884,1.9898339999999997,,,,,3.09170184,MNE
Americas,Nicaragua,51.7,189.0,,,,448.0,,82.0,142.0,912.7,0.08604948000000001,0.5463612000000001,,,,,1.3735679999999997,0.35916,0.93294,3.2980786799999997,NIC
Americas,Jamaica,72.0,99.0,,,,250.0,464.0,,,885.0,0.11983680000000001,0.28618920000000003,,,,1.4226239999999997,0.7665,,,2.5951499999999994,JAM
